Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,6/1/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Curacao,CUW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,49902.14655,,,,,
Cyprus,CYP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13171.30852,13360.01395,14556.56229,14649.16004,15519.28501,16875.82698,17104.25981,17852.88395,18931.23109,19881.07498,21695.82109,23297.38886,23964.81588,24300.66846,26092.06948,28169.41286,30496.04207,32985.92031,34823.58399,33922.88175,33294.91858,33192.52294,31877.64328,30610.88225,30482.6392,31539.4538,
Czech Republic,CZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12608.51034,11542.64622,11733.96243,12008.09208,12615.86958,13688.6408,14538.30224,14679.65409,14864.86577,15289.13816,16132.36975,17556.2157,18141.68646,19361.21368,20781.3434,21909.58517,23751.79204,26058.20042,27784.10457,27567.20246,27659.26524,28797.41796,29047.24644,30513.26979,32386.24531,33770.47593,
Germany,DEU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19421.76614,20940.23977,21664.25886,21823.69769,22756.77679,23565.71044,24110.80106,24627.34496,25366.78879,26360.14719,27277.11033,28541.24387,29326.91207,29988.21339,31439.58273,31968.46745,34261.47365,36436.51777,38028.77214,37080.30825,39263.18779,42692.51976,43564.14802,45273.10109,47099.71803,48041.70141,
Djibouti,DJI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2011.669583,1916.979786,1909.10633,1790.42486,1781.667213,1725.647095,1654.48628,1639.942194,1629.415117,1660.912953,1677.661256,1723.537812,1768.428111,1833.863819,1928.388215,2025.13427,2158.330859,2298.569959,2447.953808,2557.639707,2644.628229,2782.971292,2932.233342,3087.004985,3286.641767,3491.380145,
Dominica,DMA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4349.393167,4526.526365,4715.910921,4893.622025,5057.437659,5265.241471,5520.090695,5729.678517,6120.058371,6291.34614,6479.326599,6660.152576,6629.942949,7255.775062,7668.371134,7883.80026,8346.566932,9096.812961,9923.669269,9866.200557,10029.56748,10179.37964,10215.49621,10413.98561,10992.97181,10864.53842,
Denmark,DNK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18214.33344,19033.43517,19782.76543,20188.23369,21644.08707,22646.19818,23712.23389,24908.40648,25787.40214,26653.82934,28640.06243,29517.2164,30640.34504,30784.41611,32931.9465,34150.1558,37317.11644,38953.19989,41278.32884,40380.94447,43082.75554,44403.39415,44803.96224,46769.08946,47847.83933,49020.39451,
Dominican Republic,DOM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3404.302645,3482.008821,3860.476527,4158.220734,4265.184609,4512.231646,4838.462489,5227.704216,5564.321986,5933.914295,6312.259192,6471.262809,6844.556135,6858.160254,7033.12797,7816.304264,8788.886623,9671.448304,10038.08254,10072.82363,10898.51939,11320.85225,11702.24699,12302.03941,13313.84,14237.06196,
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6616.21045,6591.116488,6704.492342,6573.536464,6517.88551,6777.093809,7059.781758,7144.008184,7477.463799,7725.416203,8093.28839,8416.988315,8912.710928,9623.434463,10180.67135,10978.29467,11342.04864,11856.53537,12179.24741,12263.93114,12638.38041,13026.1917,13449.27,13770.07902,14268.15555,14688.2033,
